Open time;Open;High;Low;Close;Volume
06/01/2018 00:00;16960.39;17099.99;16288.0;16521.59;4247.71364
06/01/2018 04:00;16521.57;16750.0;16300.0;16518.0;2163.980432
06/01/2018 08:00;16500.18;16750.01;16340.0;16529.89;2570.004863
06/01/2018 12:00;16505.16;16639.0;16011.21;16556.22;3636.953819
06/01/2018 16:00;16550.04;16982.0;16501.75;16770.01;3205.687621
06/01/2018 20:00;16770.01;17143.13;16612.18;17069.79;2747.117133
07/01/2018 00:00;17069.79;17099.96;16605.01;16740.68;3154.304603
07/01/2018 04:00;16727.93;16749.98;16400.0;16746.99;2773.563248
07/01/2018 08:00;16747.0;16886.75;16560.02;16607.0;1475.70652
07/01/2018 12:00;16611.0;16649.05;16300.0;16439.65;1213.051465
