Open time;Open;High;Low;Close;Volume
07/01/2018 16:00;16439.64;16474.87;15610.0;16100.9;2778.455183
07/01/2018 20:00;16100.9;16500.0;15872.07;16150.03;1098.044539
08/01/2018 00:00;16218.85;16322.3;15514.99;15670.37;3174.144134
08/01/2018 04:00;15632.48;15921.68;15476.0;15865.0;3057.432567
08/01/2018 08:00;15864.99;15869.97;14551.0;15400.0;4903.911256
08/01/2018 12:00;15414.0;15499.0;12812.0;14299.98;8735.648961
08/01/2018 16:00;14297.9;15247.33;14238.32;15196.55;4144.274704
08/01/2018 20:00;15196.56;15270.99;14392.32;14902.54;2585.19829
09/01/2018 00:00;14902.54;15500.0;14701.0;15210.0;2267.730932
09/01/2018 04:00;15186.53;15397.0;14601.0;15062.28;2094.696764
