Open time;Open;High;Low;Close;Volume
04/01/2018 08:00;14734.07;14800.0;13918.04;14539.97;4339.552051
04/01/2018 12:00;14539.99;14653.4;14181.88;14353.01;3960.831185
04/01/2018 16:00;14367.99;14988.0;14238.01;14895.19;3636.616126
04/01/2018 20:00;14905.0;15100.08;14601.0;15059.54;3490.214124
05/01/2018 00:00;15059.56;15200.0;14642.0;14965.37;3624.97469
05/01/2018 04:00;14970.0;15083.63;14600.0;14920.14;3434.498779
05/01/2018 08:00;14916.95;16350.0;14880.0;16090.69;4235.324762
05/01/2018 12:00;16090.7;16267.04;15750.0;16087.72;3780.801035
05/01/2018 16:00;16094.99;17118.13;16087.73;16593.01;4211.114828
05/01/2018 20:00;16594.14;17176.24;16353.0;16960.39;3964.777031
