Open time;Open;High;Low;Close;Volume
02/01/2018 16:00;13690.02;15473.49;13503.0;14732.75;5090.273483
02/01/2018 20:00;14710.02;15160.31;14544.0;14675.11;3679.907467
03/01/2018 00:00;14690.0;15299.99;14660.0;14818.49;3303.83359
03/01/2018 04:00;14805.81;15307.56;14795.05;15170.0;3211.702067
03/01/2018 08:00;15170.0;15172.99;14150.0;14730.05;4202.802942
03/01/2018 12:00;14764.73;15045.51;14400.04;15033.77;2082.734125
03/01/2018 16:00;15045.0;15130.0;14671.0;14700.01;1659.697353
03/01/2018 20:00;14700.01;14990.0;14683.0;14919.51;1444.897562
04/01/2018 00:00;14919.51;15280.0;14649.99;15119.97;3062.535646
04/01/2018 04:00;15119.97;15119.97;14685.0;14748.0;2839.900442
