Open time;Open;High;Low;Close;Volume
01/01/2018 00:00;13715.65;13715.65;13155.38;13410.03;1676.204807
01/01/2018 04:00;13434.98;13818.55;13322.15;13570.35;1302.214836
01/01/2018 08:00;13569.98;13735.24;13001.13;13220.56;1319.755931
01/01/2018 12:00;13220.56;13330.0;12750.0;13247.0;1831.933153
01/01/2018 16:00;13247.0;13290.65;12940.0;13240.37;1092.337234
01/01/2018 20:00;13222.03;13599.7;13222.03;13380.0;1387.469883
02/01/2018 00:00;13382.16;13850.0;13231.96;13353.78;2365.532926
02/01/2018 04:00;13353.78;13480.84;12890.02;13343.0;2980.316053
02/01/2018 08:00;13343.01;13617.28;13302.59;13490.0;2596.182674
02/01/2018 12:00;13490.0;13894.86;13450.46;13690.03;3365.879508
